Unnamed: 0,word,wordID
,lifted,767
,continue,768
,balance,769
,unexpired,770
,period,771
,8x9if,772
,ax9must,773
,returned,774
,original,775
,bx9is,776
,liable,777
,serve,778
,sentence,779
,date,780
,back,781
,cx9will,782
,serving,783
,during,784
,spent,785
,9x9the,786
,10x9in,787
,32—insertion,788
,5,789
,after,790
,42a,791
,division,792
,4—terror,793
,suspects,794
,43—special,795
,procedures,796
,1x9despite,797
,provision,798
,decision,799
,effect,800
,unless,801
,confirmed,802
,2x9the,803
,before,804
,confirming,805
,invite,806
,submissions,807
,proposed,808
,3x9the,809
,member—,810
,ax9must,811
,confirm,812
,bx9must,813
,appropriate,814
,4x9the,815
,to—,816
,ax9confirm,817
,case,818
,immediately,819
,bx9reject,820
,own,821
,substituted,822
,cx9refer,823
,recommendations,824
,thinks,825
,fit,826
,requirement,827
,confirmation,828
,same,829
,instance,830
,5x9the,831
,6x9information,832
,33—transitional,833
,1x9the,834
,effected,835
,apply,836
,ax9a,837
,bx9a,838
,on,839
,commencement,840
,regardless,841
,when,842
,relevant,843
,committed,844
,2x9the,845
,reference,846
,amended,847
,they,848
,44,849
,applies,850
,b,851
,at,852
,1926,853
,adjourned,854
,thursday,855
,30,856
,november,857
,2017,858
,1030,859
,b,860
,private,861
,legal,862
,matters,863
,the,864
,the,865
,mr,866
,the,867
,the,868
,members,869
,the,870
,the,871
,government,872
,stakeholders,873
,46,874
,the,875
,the,876
,’,877
,s,878
,withdraw,879
,supported,880
,accommodation,881
,several,882
,july,883
,2018,884
,already,885
,responded,886
,mental,887
,the,888
,the,889
,but,890
,work,891
,together,892
,extreme,893
,weather,894
,response,895
,the,896
,the,897
,farm,898
,debt,899
,mediation,900
,assent,901
,his,902
,excellency,903
,governor,904
,assented,905
,sa,906
,water,907
,ms,908
,bedford,909
,florey,910
,1442,911
,environment,912
,leave,913
,ms,914
,ingle,915
,farm-valley,916
,view,917
,area,918
,now,919
,unfortunately,920
,well,921
,entrenched,922
,top,923
,10,924
,hotspots,925
,list,926
,focus,927
,main,928
,replacement,929
,program,930
,nor,931
,areas,932
,electorate,933
,include,934
,pooraka,935
,burst,936
,sunday,937
,works,938
,mr,939
,hughes,940
,cardboard,941
,cut-out,942
,the,943
,giles,944
,remainder,945
,the,946
,the,947
,call,948
,the,949
,i,950
,hopeful,951
,leaps,952
,forward,953
,terms,954
,dealing,955
,problem,956
,how,957
,deal,958
,lives,959
,members,960
,the,961
,the,962
,when,963
,over,964
,million,965
,metropolitan,966
,context,967
,always,968
,challenges,969
,sort,970
,better,971
,sa,972
,ambulance,973
,22,974
,the,975
,i,976
,advised,977
,saas,978
,funded,979
,operates,980
,250,981
,ambulances,982
,domestic,983
,violence,984
,the,985
,leave,986
,the,987
,1x9has,988
,established,989
,2x9did,990
,commence,991
,promised,992
,day,993
,3x9if,994
,4x9if,995
,hasnt,996
,the,997
,we,998
,suite,999
,commitments,1000
,including,1001
,facility,1002
,existing,1003
,providers,1004
,upgrade,1005
,facilities,1006
,undertook,1007
,consult,1008
,motor,1009
,accident,1010
,commission,1011
,the,1012
,the,1013
,mac,1014
,clearly,1015
,link,1016
,between,1017
,inability,1018
,messaging,1019
,around,1020
,road,1021
,safety,1022
,rate,1023
,deaths,1024
,injuries,1025
,gone,1026
,much,1027
,sorry,1028
,wont,1029
,available,1030
,media,1031
,comment,1032
,this,1033
,end,1034
,former,1035
,governments,1036
,privatise,1037
,putting,1038
,given,1039
,unequivocal,1040
,commitment,1041
,budget,1042
,money,1043
,spends,1044
,advertising,1045
,communications,1046
,social,1047
,sponsorship,1048
,partnerships,1049
,programs,1050
,guaranteed,1051
,i,1052
,disappointed,1053
,comments,1054
,seen,1055
,reported,1056
,someone,1057
,it,1058
,correct—and,1059
,quote,1060
,some,1061
,recent,1062
,papers—that,1063
,fatalities,1064
,couple,1065
,higher,1066
,particular,1067
,i,1068
,place,1069
,record,1070
,guarantee,1071
,ongoing,1072
,funding,1073
,message,1074
,what,1075
,every,1076
,occasion,1077
,past,1078
,been—and,1079
,well—involved,1080
,press,1081
,releasing,1082
,campaign,1083
,either,1084
,able,1085
,finally,1086
,coordinated,1087
,group,1088
,role,1089
,transport,1090
,infrastructure,1091
,working,1092
,whole,1093
,finally,1094
,quantum,1095
,earlier,1096
,going,1097
,sponsorships,1098
,exist,1099
,locked,1100
,2019-20,1101
,in,1102
,concluding,1103
,unequivocally,1104
,financial,1105
,mr,1106
,murray,1107
,1443,1108
,the,1109
,members,1110
,the,1111
,mr,1112
,picton,1113
,the,1114
,kaurna,1115
,the,1116
,instead,1117
,core,1118
,business,1119
,repurpose,1120
,bolster,1121
,sacoss,1122
,snapshot,1123
,2018-19,1124
,financial,1125
,counselling,1126
,important,1127
,families,1128
,contact,1129
,protective,1130
,members,1131
,the,1132
,the,1133
,in,1134
,procurement,1135
,approved,1136
,acquisition,1137
,plan,1138
,enter,1139
,direct,1140
,negotiations,1141
,dhs,1142
,relationships,1143
,create,1144
,relationships,1145
,offer,1146
,post-care,1147
,support,1148
,leavers,1149
,in,1150
,addition,1151
,agencies,1152
,guidance,1153
,managing,1154
,finances,1155
,engage,1156
,ensure,1157
,stability,1158
,ms,1159
,the,1160
,cease,1161
,the,1162
,targeted,1163
,voluntary,1164
,separation,1165
,packages,1166
,offered,1167
,departments,1168
,dcp,1169
,the,1170
,the,1171
,copious,1172
,notes,1173
,strathmont,1174
,pool,1175
,the,1176
,the,1177
,the,1178
,the,1179
,interest,1180
,sa,1181
,16,1182
,the,1183
,the,1184
,the,1185
,understands,1186
,procuring,1187
,evaluation,1188
,stage,1189
,chief,1190
,psychiatrist,1191
,the,1192
,the,1193
,payroll,1194
,tax,1195
,exemption,1196
,small,1197
,final,1198
,the,1199
,suggested,1200
,accordingly,1201
,b,1202
,at,1203
,1753,1204
,tuesday,1205
,23,1206
,october,1207
,1415,1208
,b,1209
,china,1210
,trade,1211
,mission,1212
,mr,1213
,treloar,1214
,flinders,1215
,1414,1216
,the,1217
,when,1218
,statistics,1219
,performance,1220
,previous,1221
,havent,1222
,done,1223
,exports,1224
,but,1225
,good,1226
,news,1227
,17,1228
,mr,1229
,the,1230
,mr,1231
,koutsantonis,1232
,went,1233
,footy,1234
,game,1235
,the,1236
,members,1237
,the,1238
,the,1239
,it,1240
,productive,1241
,trip,1242
,yes,1243
,did,1244
,attend,1245
,football,1246
,match,1247
,national,1248
,electricity,1249
,retailer,1250
,reliability,1251
,obligation,1252
,second,1253
,adjourned,1254
,continued,1255
,28,1256
,the,1257
,deputy,1258
,west,1259
,torrens,1260
,the,1261
,the,1262
,lead,1263
,assume,1264
,the,1265
,members,1266
,the,1267
,make,1268
,mistake,1269
,energy,1270
,security,1271
,develops,1272
,obligations,1273
,developed,1274
,market,1275
,john,1276
,pierce,1277
,speaking,1278
,school,1279
,informing,1280
,enacting,1281
,a,1282
,wise,1283
,investment,1284
,sector,1285
,liquidity,1286
,contracting,1287
,as,1288
,consumer,1289
,suffers,1290
,see,1291
,legacy,1292
,privatisations,1293
,decisions,1294
,gold,1295
,plate,1296
,transmission,1297
,distribution,1298
,then,1299
,pass,1300
,costs,1301
,consumers,1302
,the,1303
,pocketed,1304
,opposite,1305
,unanimously,1306
,interesting,1307
,claiming,1308
,lower,1309
,power,1310
,prices,1311
,election,1312
,promising,1313
,200,1314
,injection,1315
,construction,1316
,interconnector,1317
,cost,1318
,borne,1319
,the,1320
,generous,1321
,giving,1322
,me,1323
,briefing,1324
,does,1325
,in,1326
,enact,1327
,legislation,1328
,quickly,1329
,possible,1330
,recommend,1331
,house—but,1332
,accept,1333
,recommendation—that,1334
,speakers,1335
,mr,1336
,patterson,1337
,underestimate,1338
,the,1339
,mr,1340
,capable,1341
,the,1342
,for,1343
,generators,1344
,firm,1345
,revenue,1346
,enable,1347
,obtain,1348
,finance,1349
,an,1350
,the,1351
,mr,1352
,mcbride,1353
,the,1354
,an,1355
,the,1356
,the,1357
,tells,1358
,designed,1359
,incentivise,1360
,retailers,1361
,despite,1362
,regulatory,1363
,customers—that,1364
,entities—to,1365
,strategies,1366
,an,1367
,the,1368
,the,1369
,the,1370
,mr,1371
,dreams,1372
,the,1373
,to,1374
,unpack,1375
,free,1376
,marketeers,1377
,participate,1378
,inverted,1379
,commas,1380
,these,1381
,meet,1382
,suffer,1383
,penalties,1384
,the,1385
,coag,1386
,states,1387
,nem,1388
,grabbing,1389
,hold,1390
,applying,1391
,stringent,1392
,capital,1393
,outside,1394
,rush,1395
,great,1396
,apparently,1397
,increase,1398
,demand,1399
,of,1400
,lot,1401
,detailed,1402
,households,1403
,incentivised,1404
,turn,1405
,off,1406
,air,1407
,conditioners,1408
,fans,1409
,compressor,1410
,conditioner,1411
,turning,1412
,batteries,1413
,solar,1414
,panels,1415
,use,1416
,paid,1417
,grid,1418
,moment,1419
,high,1420
,forced,1421
,load,1422
,shed,1423
,demands,1424
,importantly,1425
,telling,1426
,dispatchable,1427
,again,1428
,endeavours,1429
,magical,1430
,world,1431
,regulation,1432
,actually,1433
,mean,1434
,borrow,1435
,invest,1436
,avoid,1437
,aemo,1438
,aer,1439
,impose,1440
,the,1441
,rro,1442
,level,1443
,operator,1444
,annually,1445
,undertake,1446
,assessment,1447
,potential,1448
,gaps,1449
,members,1450
,the,1451
,if,1452
,assessors,1453
,gap,1454
,request,1455
,regulator,1456
,so,1457
,bodies,1458
,introducing,1459
,incentive,1460
,players,1461
,the,1462
,goes,1463
,tell,1464
,instrument,1465
,trigger,1466
,love,1467
,company,1468
,generation,1469
,storage,1470
,sufficient,1471
,contracts,1472
,share—which,1473
,calculated,1474
,experts,1475
,somewhere,1476
,down,1477
,each,1478
,be—of,1479
,peak,1480
,contract,1481
,what,1482
,happens,1483
,mr,1484
,the,1485
,so,1486
,agl,1487
,to,1488
,reform,1489
,labor,1490
,we,1491
,based,1492
,current,1493
,forecasts,1494
,australias,1495
,approximately,1496
,2900,1497
,megawatts,1498
,the,1499
,nab,1500
,survey,1501
,yesterday,1502
,showed,1503
,worst,1504
,optimistic,1505
,economy,1506
,growing,1507
,influx,1508
,migrants,1509
,regional,1510
,abattoirs,1511
,we,1512
,empowered,1513
,legislatively,1514
,perform,1515
,function,1516
,procurer,1517
,resort,1518
,net,1519
,sounds,1520
,idea,1521
,if,1522
,fails,1523
,carbon,1524
,price,1525
,mechanism,1526
,wants,1527
,parliament—this,1528
,government—as,1529
,constituencies,1530
,backup,1531
,i,1532
,carry,1533
,shoulders,1534
,thank,1535
,passing,1536
,decarbonise,1537
,investments,1538
,as,1539
,the,1540
,regulator—again,1541
,agency,1542
,treasury,1543
,canberra—will,1544
,ability,1545
,entities,1546
,enough,1547
,qualifying,1548
,right,1549
,amounts,1550
,exceeding,1551
,natural,1552
,body,1553
,corporate,1554
,the,1555
,build,1556
,alternatives,1557
,put,1558
,bigger,1559
,we,1560
,providing,1561
,indeed,1562
,reserves,1563
,provided,1564
,restricted,1565
,cap,1566
,the,1567
,reserve,1568
,trader,1569
,appropriately,1570
,52,1571
,2017-18,1572
,34,1573
,the,1574
,civil,1575
,therefore,1576
,strong,1577
,disincentive,1578
,noncompliance,1579
,participants,1580
,effectively,1581
,signals,1582
,from,1583
,memory,1584
,increased,1585
,thermal,1586
,since,1587
,pelican,1588
,all,1589
,coming,1590
,ascertain,1591
,coal-fired,1592
,gas-fired,1593
,turbines,1594
,renewable,1595
,but,1596
,stick,1597
,subsidy,1598
,base,1599
,perhaps,1600
,so,1601
,regulate,1602
,coercively,1603
,massive,1604
,somehow,1605
,influenza,1606
,vaccinations,1607
,the,1608
,the,1609
,the,1610
,the,1611
,ask,1612
,privatising,1613
,etsa,1614
,built,1615
,harsher,1616
,monopoly,1617
,created,1618
,privatisation,1619
,electrons,1620
,sale,1621
,creating,1622
,so,1623
,glut,1624
,incentives,1625
,nationally,1626
,calling,1627
,remove,1628
,find,1629
,hard,1630
,lets,1631
,sake,1632
,argument,1633
,polls,1634
,heading,1635
,lets,1636
,implemented,1637
,i,1638
,congratulate,1639
,aspect,1640
,however,1641
,understand,1642
,pressure,1643
,i,1644
,hate,1645
,units,1646
,island,1647
,mothballed,1648
,an,1649
,the,1650
,members,1651
,the,1652
,as,1653
,members,1654
,the,1655
,i,1656
,takes,1657
,dr,1658
,harvey,1659
,newland,1660
,1218,1661
,pleased,1662
,rise,1663
,in,1664
,remember,1665
,announced,1666
,enormous,1667
,increase—an,1668
,increase—in,1669
,middle,1670
,i,1671
,highlights,1672
,extent,1673
,affects,1674
,everybody,1675
,home,1676
,afford,1677
,employ,1678
,broader,1679
,this,1680
,implements,1681
,december,1682
,aemo,1683
,identify,1684
,three,1685
,ahead,1686
,likely,1687
,occur,1688
,importantly,1689
,australia—and,1690
,behalf,1691
,state—the,1692
,included,1693
,specifically,1694
,recognising,1695
,experienced,1696
,supply,1697
,issues,1698
,forecast,1699
,it,1700
,simply,1701
,unacceptable,1702
,due,1703
,could,1704
,prevented,1705
,switching,1706
,lights,1707
,importantly,1708
,provides,1709
,it,1710
,minor,1711
,cases,1712
,short,1713
,torches,1714
,candles,1715
,whatever,1716
,keep,1717
,lit,1718
,implications,1719
,of,1720
,businesses,1721
,supermarkets,1722
,shops,1723
,kept,1724
,cold,1725
,throw,1726
,too,1727
,long,1728
,this,1729
,complements,1730
,policies,1731
,marshall,1732
,liberal,1733
,implementing,1734
,secure,1735
,reliable,1736
,affordable,1737
,it,1738
,note,1739
,benefits,1740
,feed-in,1741
,tariffs,1742
,most,1743
,exported,1744
,relatively,1745
,low,1746
,this,1747
,scheme,1748
,really,1749
,tick,1750
,boxes,1751
,reduces,1752
,increases,1753
,capacity,1754
,environmentally,1755
,friendly,1756
,bills,1757
,of,1758
,policy,1759
,dependent,1760
,initiative,1761
,what,1762
,there,1763
,adding,1764
,additional,1765
,connection,1766
,alternative,1767
,something,1768
,wrong,1769
,this,1770
,contrast,1771
,wales,1772
,sydney,1773
,rarely,1774
,similar,1775
,patterns,1776
,the,1777
,benefit,1778
,unusual,1779
,temperature,1780
,20s,1781
,windy,1782
,still,1783
,sunny,1784
,maybe,1785
,also,1786
,western,1787
,large,1788
,developments,1789
,large-scale,1790
,plant,1791
,broken,1792
,hill,1793
,nyngan,1794
,industrial,1795
,activity,1796
,there,1797
,component,1798
,grid-scale,1799
,completely,1800
,neglected,1801
,so,1802
